,Adresse,City,E10,Gazole,Postal_Code,SP95,SP98,iD
6039,7 ZA la Rivière,PARIGNY,"1,349","1,179",50600,"1,369","1,399",50
6040,LA VERTE CAMPAGNE,SAINT-HILAIRE-DU-HARCOUëT,Not available,"1,320",50600,"1,520","1,550",50
6041,Route de Paris,Saint-Hilaire-du-Harcouët,Not available,"1,169",50600,"1,329","1,369",50
6042,10 rue Val de Saire,Quettehou,"1,267","1,180",50630,"1,370",Not available,50
6043,"15, le pont",Martinvast,Not available,"1,298",50690,"1,488",Not available,50
6044,"16, Le Bourg Neud D900",COUVILLE,Not available,Not available,50690,Not available,Not available,50
6045,16 Le Bourg Neuf,COUVILLE,Not available,"1,289",50690,Not available,"1,529",50
6046, Boulevard Félix-Buhot,VALOGNES,Not available,"1,180",50700,"1,328","1,355",50
6047,1 Boulevard de Verdun,Valognes,"1,415","1,272",50700,"1,395","1,525",50
6048,12 rue Général Legentilhomme,VALOGNES,"1,266","1,180",50700,"1,306",Not available,50
6049,Route de Montebourg - La Victoire,VALOGNES,"1,245","1,125",50700,"1,287","1,320",50
6050,113 RUE DU HAUT CHEMIN,CREANCES,"1,439","1,205",50710,"1,405","1,435",50
6051,ZA DE LA JOIGNERIE,QUIBOU,Not available,"1,239",50750,"1,439",Not available,50
6052,132 RUE ST THOMAS,Barfleur,"1,311","1,189",50760,"1,356",Not available,50
6053,Rond point des Estuaires,VILLEDIEU-LES-POêLES,Not available,"1,219",50800,"1,409","1,439",50
6054, Route de Vire,VILLEDIEU-LES-POêLES,Not available,"1,300",50800,"1,450","1,480",50
6055,63 RUE DE LA LIBERATION,Pont-Hébert,Not available,"1,289",50880,"1,472","1,515",50
6056,10 RUE ARGANCHY,CONDé-SUR-VIRE,Not available,"1,189",50890,"1,389","1,419",50
6057,avenue du président Roosevelt,CHâLONS-EN-CHAMPAGNE,Not available,"1,172",51000,"1,351","1,382",51
6058,136 Avenue du Général Maurice Sarrail,Châlons-en-Champagne,Not available,Not available,51000,Not available,Not available,51
6059,ROUTE D'EPERNAY,Châlons-en-Champagne,"1,348","1,188",51000,Not available,"1,399",51
6060,PLACE DE VERDUN,Châlons-en-Champagne,"1,402","1,197",51000,Not available,"1,436",51
6061,77 Faubourg Saint-Antoine,CHâLONS-EN-CHAMPAGNE,"1,463","1,291",51000,Not available,"1,528",51
6062,Avenue du Mont-Héry,CHALONS-EN-CHAMPAGNE,Not available,"1,167",51000,"1,331","1,361",51
6063,Rue François,Châlons-en-Champagne,Not available,Not available,51000,Not available,Not available,51
6064,RN 44 - ROUTE DE VITRY LE FRANC,CHALONS EN CHAMPAGNE,"1,325","1,175",51000,Not available,Not available,51
6065,16 route de cernay,REIMS,"1,307","1,173",51067,"1,352","1,383",51
6066,1 RUE FRANCIS GARNIER,REIMS,"1,276","1,159",51068,"1,322",Not available,51
6067,5 Avenue Georges Clemenceau,REIMS,"1,390","1,186",51100,"1,356","1,426",51
6068,47 Rue Gosset,Reims,Not available,"1,187",51100,"1,386","1,419",51
6069,31 Rue de Neufchâtel,REIMS,Not available,Not available,51100,Not available,Not available,51
6070,252 Avenue Jean Jaurès,REIMS,Not available,Not available,51100,Not available,Not available,51
6071,55 Boulevard Dauphinot,Reims,Not available,Not available,51100,Not available,Not available,51
6072,140 Rue de Louvois,Reims,Not available,Not available,51100,Not available,Not available,51
6073,2 Rue Albert Thomas,REIMS,Not available,Not available,51100,Not available,Not available,51
6074,11 Boulevard Saint-Marceaux,Reims,"1,348","1,186",51100,Not available,"1,426",51
6075,50 Rue Cérès,Reims,"1,479","1,319",51100,Not available,Not available,51
6076,12 Avenue Brebant,REIMS,Not available,Not available,51100,Not available,Not available,51
6077,RN 44 - 114 AVENUE NATIONALE,REIMS,Not available,Not available,51100,Not available,Not available,51
6078,ZAC DE SAINT LEONARD  RN44,Reims,Not available,Not available,51100,Not available,Not available,51
6079,360 AVENUE DE LAON,REIMS,Not available,Not available,51100,Not available,Not available,51
6080,31 Rue de Neufchâtel,Reims,Not available,"1,169",51100,"1,329","1,359",51
6081,RN44 ZI SAINT LEONARD,Reims,Not available,Not available,51100,Not available,Not available,51
6082,Route de BISSEUIL,TOURS SUR MARNE,"1,311","1,195",51100,Not available,"1,393",51
6083,58 Boulevard du Président Wilson,Reims,"1,293","1,171",51100,"1,333","1,368",51
6084,12 Avenue Brebant,REIMS,Not available,Not available,51100,Not available,Not available,51
6085,Chemin de Saint-Léonard,Reims,"1,519","1,339",51100,Not available,Not available,51
6086,2 Rue Armand Bouxin,Reims,"1,499","1,339",51100,Not available,"1,449",51
