,Adresse,City,Postal_Code,iD
53,AUTOROUTE A40 - AIRE DE BOURG JASSERON,CEYZERIAT,01250,01
54, Grande Rue,COLIGNY,01270,01
55,Route de Chatillon Sur Chalaronne,LAIZ,01290,01
56,Boulevard de Verdun,Belley,01300,01
57, Rue Mante,BELLEY,01300,01
58,RN 504 - ZI de Penaye ,Chazey-Bons,01300,01
59,1123 Route de Mâcon,POLLIAT,01310,01
60,Lieu-dit Logis-Neuf,Confrançon,01310,01
61,Grande Rue,CHALAMONT,01320,01
62,Chemin du Petit Étang,Chalamont,01320,01
63,"245, Route du 3 Septembre 1944",Ambérieux-en-Dombes,01330,01
64,zac de la tuilerie,VILLARS-LES-DOMBES,01330,01
65,Rue des Luyers,MONTREVEL-EN-BRESSE,01340,01
66,RN.75,Malafretaz,01340,01
67,Les Cézilles,Jayat,01340,01
68,771 Route de Bourg,ATTIGNAT,01340,01
69, Avenue Jean Falconnier,CULOZ,01350,01
70,PARC D'ACTIVITE DES FOURS,Béon,01350,01
71, Route de Lyon,BALAN,01360,01
72, Route de Strasbourg,SAINT-ÉTIENNE-DU-BOIS,01370,01
73,1 Route du Bourg,BAGE LA VILLE,01380,01
74,Allées des Marronniers,Saint-André-de-Corcy,01390,01
75,Z.I. DE CURE,Saint-André-de-Corcy,01390,01
76,AIRE DE MIONNAY OUEST GALMIER A46,MIONNAY,01390,01
77,Aire de Mionnay Est Chatanay,Mionnay,01390,01
78,AIRE DE MIONNAY EST CHATANAY AUTOROUTE A 46,MIONNAY,01390,01
79,AIRE DE MIONNAY OUEST SAINT GALMIER,MIONNAY,01390,01
80,AVENUE MARECHAL FOCH,CHATILLON-SUR-CHALARONNE,01400,01
81,AVENUE PIERRE MARCAULT,CHATILLON SUR CHALARONNE,01400,01
82,ROUTE DE MARLIEUX,CHATILLON SUR CHALARONNE,01400,01
83,AUTOROUTE A 40 - SENS PARIS PROV,CEIGNES,01430,01
84,AIRE DE CEIGNES HAUT BUGEY,CEIGNES,01430,01
85,Chemin de l'Égalité,Maillat,01430,01
86,AUTOROUTE A40 - AIRE DE CEIGNES CERDON,CEIGNES,01430,01
87,1029 ROUTE DE MARBOZ-LOUHANS,VIRIAT,01440,01
88, Route de Strasbourg,VIRIAT,01440,01
89,261 Route de Paris,Viriat,01440,01
90,68 Rue du Jura,MONTREAL-LA-CLUSE,01460,01
91,Route de Berthiand,Nurieux-Volognat,01460,01
92,Rue de l'industrie ,Port,01460,01
93,LES GRANGES DE MONTAGNIEU,Montagnieu,01470,01
94, Rue des Verchères,BRIORD,01470,01
95, Rue Édouard Herriot,JASSANS-RIOTTIER,01480,01
96,Rue Alexandre Bérard,Ambérieu-en-Bugey,01500,01
97,"550, Avenue Jean Mermoz",CHâTEAU-GAILLARD,01500,01
98,15 Avenue de la Libération,AMBéRIEU-EN-BUGEY,01500,01
99,"550, RUE JEAN MERMOZ",CHâTEAU-GAILLARD,01500,01
100,CENTRE COMMERCIAL DE L'AVIATIONRAIS,Ambérieu-en-Bugey,01500,01
101,Chef Lieu,Virieu-le-Grand,01510,01
102,"1 rue des champs ""les terrasses""",Artemare,01510,01
103,Route de Neuville,VONNAS,01540,01
104,za les grands varays rte de neuville,Vonnas,01540,01
105,Route de Pont-de-Vaux,Saint-Trivier-de-Courtes,01560,01
106, Grande Rue,FEILLENS,01570,01
107,Rue du 21 Juillet 1944,DORTAN,01590,01
108,ZAC sous la Combe,LAVANCIA-EPERCY,01590,01
109,Rue du Figuier,MIRIBEL,01600,01
110,324 Route de Lyon,TREVOUX,01600,01
111,Avenue Lavoisier,MASSIEUX,01600,01
112,RUE DE GENEVE -,SAINT-GENIS-POUILLY,01630,01
113,148 Rue des Chalets,SAINT-GENIS-POUILLY,01630,01
114,ZA DU PRE MUNNY,PéRON,01630,01
115,573 route de Genève,Saint-Jean-le-Vieux,01640,01
116,RN 83,Miribel,01700,01
117,ZAC des Beterses,BEYNOST,01700,01
118,route de Bellegarde,THOIRY,01710,01
119,223 route de Bourg-en-Bresse,Replonges,01750,01
120,47 Route de Lyon,MEXIMIEUX,01800,01
121,11 route de Port-Galland,Saint-Maurice-de-Gourdans,01800,01
122,ROUTE DE CHALAMONT,Meximieux,01800,01
123,Chemin de Bellevue,PERONNAS,01960,01
124,148 Avenue de Lyon,PéRONNAS,01960,01
125,148 Avenue de Lyon,PéRONNAS,01960,01
126,63 Rue du Bugey,LOYETTES,01980,01
127,ZAC ILE DE FRANCE,LAON,02000,02
128,16 RUE FERNAND CHRIST,LAON,02000,02
129,44 Avenue Charles de Gaulle,Laon,02000,02
130,97 Avenue Charles de Gaulle,Laon,02000,02
131,16 Boulevard Pierre Brossolette,Laon,02000,02
132,rue Jean Jaures,CHAMBRY,02000,02
133,167 Avenue Pierre Mendès France,Laon,02000,02
134,RUE DU DR MENU,Laon,02000,02
135,Route d'AMIENS,SAINT-QUENTIN,02100,02
136,51 Avenue du Général de Gaulle,SAINT-QUENTIN,02100,02
